Price1,Price2,Price3,Date
100.67735497477032,95.62360812526097,110.27765093828876,2023-04-12
101.19894364034326,96.07640195749592,110.13462897027112,2023-04-13
100.99867546697548,95.6478283595165,109.86226371458746,2023-04-14
,97.2242508512401,110.7310929434984,2023-04-15
100.76473774606377,93.81011384019409,109.10305938528172,2023-04-16
101.2168409166902,97.8940908047856,110.30328713760876,2023-04-17
100.87812105671237,94.88271283606984,109.32109549113524,2023-04-18
101.28265063028752,96.63682846286997,110.10507338695923,2023-04-19
100.97649271128523,94.65519134051473,110.22622007000342,2023-04-20
101.09562674965231,95.91512762615581,110.45545222749436,2023-04-21
100.83003613613339,95.23836446188491,110.42630501152938,2023-04-22
100.80531676677117,95.31318499298585,109.26848412602622,2023-04-23
101.18726058191675,96.43045985043724,110.02632944973033,2023-04-24
101.03526721421457,96.00434762526996,110.08991696088664,2023-04-25
100.84021437170655,96.00530585554142,109.88898221108789,2023-04-26
,,109.80669423045933,2023-04-27
100.62671259170281,93.60309613244152,,2023-04-28
101.04125989192234,94.38288469092252,109.4175665951509,2023-04-29
101.25561193803388,,,2023-04-30
101.60822765822576,98.49818522922146,111.47247600738473,2023-05-01
